id,text,next_question_label,question_id
301,"Вы возмущённо требуете документы, разрешения и хотя бы подпись ответственного лица. Вселенная равнодушно зевает.","2",201
302,"Вы вспоминаете главное правило галактического путешественника и лихорадочно ищете полотенце. Это внушает необъяснимое спокойствие.","3",201
303,"Вы уточняете, будет ли обед до конца света, потому что на голодный желудок апокалипсис переносится хуже.","4",201
304,"Вы решаете, что это сон, и пробуете снова уснуть, пока Вселенная не передумала.","5",201
305,"Вы пытаетесь убежать, но быстро понимаете, что в условиях вакуума это не лучшая стратегия.","6",202
306,"Вы представляете себя галактическим юристом и начинаете говорить словами, смысл которых неизвестен даже вам.","7",202
307,"Вы вежливо просите почитать стихи вслух, подозревая, что хуже уже не будет.","8",202
308,"Вы начинаете плакать заранее, экономя время на эмоциональной реакции.","9",202
309,"Вы используете его как универсальное средство защиты от всего непонятного.","6",203
310,"Вы накидываете его как плащ и чувствуете себя героем космооперы.","10",203
311,"Вы обнимаете полотенце, потому что оно единственное, что сейчас вас понимает.","5",203
312,"Вы тут же его теряете, подтверждая законы Вселенной.","9",203
313,"Вы решаете сделать бутерброд, игнорируя катастрофу как нечто второстепенное.","11",204
314,"Вы жалуетесь Вселенной на несвоевременность происходящего.","12",204
315,"Вы смиряетесь с судьбой и принимаете происходящее как должное.","5",204
316,"Вы спрашиваете, где чай, потому что без него цивилизация не имеет смысла.","13",204
317,"Вы начинаете паниковать, громко и без системы.","9",205
318,"Вы вспоминаете надпись «DON’T PANIC» и стараетесь выглядеть уверенно.","10",205
319,"Вы философски принимаете происходящее, как будто читали об этом раньше.","12",205
320,"Вы выкрикиваете «42!» без всякой причины, но с чувством.","14",205
321,"Вы задерживаете дыхание, словно космос обязан это заметить и проявить такт.","15",206
322,"Вы начинаете кричать, несмотря на смутное подозрение, что звук здесь не работает.","9",206
323,"Вы решаете положиться на сюжетную броню главного героя, даже если не уверены, что вы главный.","16",206
324,"Вы вежливо извиняетесь перед космосом за возможные неудобства. Космос впечатлён.","12",206
325,"Вы требуете апелляцию, не уточняя, к чему именно. Звучит убедительно.","8",207
326,"Вы начинаете путаться в терминах и случайно признаётесь во всех преступлениях сразу.","9",207
327,"Против всех законов логики вы выигрываете дело. Вогон выглядит озадаченным.","10",207
328,"В качестве «компромисса» вам предлагают послушать стихи.","8",207
329,"Вы теряете сознание, руководствуясь инстинктом самосохранения.","15",208
330,"Вы хвалите рифму, чем пугаете всех присутствующих, включая автора.","6",208
331,"Вы записываете цитаты, чтобы пугать ими знакомых.","9",208
332,"Вы просите ещё. Реальность слегка трескается.","15",208
333,"Вы решаете сдаться и начать всё сначала.","5",209
334,"Вы делаете вид, что так и было задумано.","12",209
335,"Вы задаёте главный философский вопрос: «В чём вообще смысл?»","14",209
336,"Вы снова начинаете искать полотенце, потому что оно вас ещё ни разу не подводило.","3",209
337,"Вы радуетесь спасению и решаете не задавать лишних вопросов.","16",210
338,"Вы внимательно разглядываете экипаж, подозревая худшее.","17",210
339,"Вы прячетесь за ближайшим ящиком. На всякий случай.","9",210
340,"Вы спрашиваете, куда летит корабль, и сразу жалеете об этом.","11",210
341,"Вы заказываете чай, надеясь, что в этот раз всё будет иначе.","13",211
342,"Вы снова поднимаете тему смысла жизни. Не вовремя, но искренне.","14",211
343,"Вы пробуете что-то странное, светящееся и, возможно, разумное.","9",211
344,"Вы решаете ничего не есть и просто подумать.","12",211
345,"Вы размышляете о жизни: зачем она дана, почему всё так странно и кто вообще всё это придумал.","14",212
