id,label,text,quest_id
201,"1","Вы просыпаетесь и узнаёте, что Землю демонтируют ради гиперпространственной магистрали. Что будете делать?",2
202,"2","Перед вами стоит вогон, держащий папку подозрительно толстых стихов.",2
203,"3","Полотенце найдено. Оно слегка влажное, но внушает доверие.",2
204,"4","Мысли о еде не покидают вас даже в момент уничтожения планеты.",2
205,"5","Вы понимаете: это не сон, а реальность, причём весьма навязчивая.",2
206,"6","Вас без особых церемоний выбрасывают в открытый космос. Он холодный, бесконечный и явно не собирается извиняться.",2
207,"7","Вы представились галактическим юристом, и теперь все ждут продолжения.",2
208,"8","Поэзия начинается. Это заметно сразу.",2
209,"9","Ситуация становится заметно хуже, чем была мгновение назад.",2
210,"10","Вас подбирает корабль, который выглядит надёжным ровно настолько, насколько это возможно в галактике.",2
211,"11","На борту обсуждают еду, и это внезапно кажется важным.",2
212,"12","Вы внезапно ловите себя на том, что задумались. Это опасно, но уже поздно.",2
213,"13","Вам приносят чай. Он снова не такой, как надо.",2
214,"14","Наступает торжественный момент. Вам задают Главный вопрос жизни, Вселенной и всего такого. Все замолкают. Даже космос делает вид, что слушает.",2
215,"15","Вы обнаруживаете, что каким-то образом всё ещё существуете.",2
216,"16","У вас появляется ощущение, что вы близки к истине. Это тревожит.",2
217,"17","Перед вами андроид с крайне пессимистичным взглядом на бытие.",2
218,"18","Вселенная смотрит на вас с плохо скрываемым интересом.",2
219,"19","Вы чувствуете, что ответ уже близко, но всё ещё сомневаетесь.",2
220,"20","После всего пережитого вы наконец понимаете главное.",2
221,"+810","Поздравляем! Вы прошли квест, не сломали Вселенную и, возможно, даже стали немного мудрее.",2
